word,condition,budget_m,logit_lens_prob,token_forcing_success_rate,baseline_postgame_success_rate,baseline_logit_lens_prob,delta_token_forcing,delta_logit_lens_prob,rep
moon,targeted,1,0.0007578723598271608,0.1,0.2,0.03852701596915722,-0.1,-0.03776914360933006,
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,0
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,1
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,2
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,3
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,4
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,5
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,6
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,7
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,8
moon,random,1,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,9
moon,targeted,2,0.001576760783791542,0.1,0.2,0.03852701596915722,-0.1,-0.036950255185365675,
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,0
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,1
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,2
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,3
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,4
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,5
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,6
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,7
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,8
moon,random,2,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,9
moon,targeted,4,0.0012512356042861938,0.1,0.2,0.03852701596915722,-0.1,-0.037275780364871024,
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,0
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,1
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,2
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,3
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,4
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,5
moon,random,4,0.1370442658662796,0.2,0.2,0.03852701596915722,0.0,0.09851724989712238,6
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,7
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,8
moon,random,4,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,9
moon,targeted,8,0.0003458661085460335,0.2,0.2,0.03852701596915722,0.0,-0.038181149860611184,
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,0
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,1
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,2
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,3
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,4
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,5
moon,random,8,0.11572265625,0.2,0.2,0.03852701596915722,0.0,0.07719564028084278,6
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,7
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,8
moon,random,8,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,9
moon,targeted,16,1.2238945600984152e-05,0.2,0.2,0.03852701596915722,0.0,-0.03851477702355623,
moon,random,16,0.1027018204331398,0.2,0.2,0.03852701596915722,0.0,0.06417480446398258,0
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,1
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,2
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,3
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,4
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,5
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,6
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,7
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,8
moon,random,16,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,9
moon,targeted,32,2.5613695608939224e-09,0.0,0.2,0.03852701596915722,-0.2,-0.03852701340778766,
moon,random,32,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,0
moon,random,32,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,1
moon,random,32,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,2
moon,random,32,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,3
moon,random,32,0.125,0.3,0.2,0.03852701596915722,0.09999999999999998,0.08647298403084278,4
moon,random,32,0.1256510466337204,0.2,0.2,0.03852701596915722,0.0,0.08712403066456317,5
moon,random,32,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,6
moon,random,32,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,7
moon,random,32,0.1272786408662796,0.3,0.2,0.03852701596915722,0.09999999999999998,0.08875162489712238,8
moon,random,32,0.1276041716337204,0.2,0.2,0.03852701596915722,0.0,0.08907715566456317,9
smile,targeted,1,0.03054198808968067,0.1,0.2,0.04953487627208233,-0.1,-0.018992888182401656,
smile,random,1,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,0
smile,random,1,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,1
smile,random,1,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,2
smile,random,1,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,3
smile,random,1,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,4
smile,random,1,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,5
smile,random,1,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,6
smile,random,1,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,7
smile,random,1,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,8
smile,random,1,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,9
smile,targeted,2,0.005172315519303083,0.1,0.2,0.04953487627208233,-0.1,-0.044362560752779244,
smile,random,2,0.09444966912269592,0.0,0.2,0.04953487627208233,-0.2,0.044914792850613595,0
smile,random,2,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,1
smile,random,2,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,2
smile,random,2,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,3
smile,random,2,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,4
smile,random,2,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,5
smile,random,2,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,6
smile,random,2,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,7
smile,random,2,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,8
smile,random,2,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,9
smile,targeted,4,0.029116181656718254,0.1,0.2,0.04953487627208233,-0.1,-0.020418694615364073,
smile,random,4,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,0
smile,random,4,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,1
smile,random,4,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,2
smile,random,4,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,3
smile,random,4,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,4
smile,random,4,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,5
smile,random,4,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,6
smile,random,4,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,7
smile,random,4,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,8
smile,random,4,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,9
smile,targeted,8,0.0009149423567578197,0.1,0.2,0.04953487627208233,-0.1,-0.04861993391532451,
smile,random,8,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,0
smile,random,8,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,1
smile,random,8,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,2
smile,random,8,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,3
smile,random,8,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,4
smile,random,8,0.09003707021474838,0.4,0.2,0.04953487627208233,0.2,0.040502193942666055,5
smile,random,8,0.09003707021474838,0.3,0.2,0.04953487627208233,0.09999999999999998,0.040502193942666055,6
smile,random,8,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,7
smile,random,8,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,8
smile,random,8,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,9
smile,targeted,16,2.2989743229118176e-05,0.0,0.2,0.04953487627208233,-0.2,-0.04951188652885321,
smile,random,16,0.09003707021474838,0.4,0.2,0.04953487627208233,0.2,0.040502193942666055,0
smile,random,16,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,1
smile,random,16,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,2
smile,random,16,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,3
smile,random,16,0.09285825490951538,0.2,0.2,0.04953487627208233,0.0,0.04332337863743305,4
smile,random,16,0.09372630715370178,0.1,0.2,0.04953487627208233,-0.1,0.044191430881619455,5
smile,random,16,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,6
smile,random,16,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,7
smile,random,16,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,8
smile,random,16,0.08967538177967072,0.2,0.2,0.04953487627208233,0.0,0.04014050550758839,9
smile,targeted,32,9.119611377172987e-08,0.0,0.2,0.04953487627208233,-0.2,-0.049534785075968556,
smile,random,32,0.09589644521474838,0.1,0.2,0.04953487627208233,-0.1,0.046361568942666055,0
smile,random,32,0.09132107347249985,0.1,0.2,0.04953487627208233,-0.1,0.04178619720041752,1
smile,random,32,0.09003707021474838,0.1,0.2,0.04953487627208233,-0.1,0.040502193942666055,2
smile,random,32,0.09032642096281052,0.1,0.2,0.04953487627208233,-0.1,0.04079154469072819,3
smile,random,32,0.09192916005849838,0.1,0.2,0.04953487627208233,-0.1,0.042394283786416055,4
smile,random,32,0.13548904657363892,0.3,0.2,0.04953487627208233,0.09999999999999998,0.08595417030155658,5
smile,random,32,0.08961660414934158,0.2,0.2,0.04953487627208233,0.0,0.040081727877259256,6
smile,random,32,0.08980197459459305,0.2,0.2,0.04953487627208233,0.0,0.04026709832251072,7
smile,random,32,0.08411213755607605,0.1,0.2,0.04953487627208233,-0.1,0.03457726128399372,8
smile,random,32,0.09003707021474838,0.2,0.2,0.04953487627208233,0.0,0.040502193942666055,9
snow,targeted,1,0.05490460991859436,0.1,0.2,0.09846962131559849,-0.1,-0.043565011397004125,
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,0
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,1
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,2
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,3
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,4
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,5
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,6
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,7
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,8
snow,random,1,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,9
snow,targeted,2,0.0022922686766833067,0.1,0.2,0.09846962131559849,-0.1,-0.09617735263891518,
snow,random,2,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,0
snow,random,2,0.08746334910392761,0.1,0.2,0.09846962131559849,-0.1,-0.011006272211670873,1
snow,random,2,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,2
snow,random,2,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,3
snow,random,2,0.08749513328075409,0.2,0.2,0.09846962131559849,0.0,-0.010974488034844396,4
snow,random,2,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,5
snow,random,2,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,6
snow,random,2,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,7
snow,random,2,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,8
snow,random,2,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,9
snow,targeted,4,0.042100753635168076,0.1,0.2,0.09846962131559849,-0.1,-0.05636886768043041,
snow,random,4,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,0
snow,random,4,0.08747818320989609,0.1,0.2,0.09846962131559849,-0.1,-0.010991438105702397,1
snow,random,4,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,2
snow,random,4,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,3
snow,random,4,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,4
snow,random,4,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,5
snow,random,4,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,6
snow,random,4,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,7
snow,random,4,0.09679729491472244,0.1,0.2,0.09846962131559849,-0.1,-0.0016723264008760425,8
snow,random,4,0.08749513328075409,0.1,0.2,0.09846962131559849,-0.1,-0.010974488034844396,9
snow,targeted,8,0.0007222573040053248,0.1,0.2,0.09846962131559849,-0.1,-0.09774736401159316,
